"","CNTSCHID","ST004D01T","Freq","Mean","s.e.","SD","s.e"
"457","38000238","Female",8,405.38,19.46,36.08,14.2
"458","38000238","Male",11,368.43,14.48,42.12,11.98
"459","38000239","Female",23,405.1,9.01,54.18,4.09
"460","38000239","Male",13,418.03,5.09,75.36,8.41
"461","38000240","Female",7,541.28,30.4,83.62,19.29
"462","38000240","Male",5,546.99,25.34,50.02,18.53
"463","38000241","Female",20,497.18,14.35,51.41,10.61
"464","38000241","Male",18,501.89,14.32,57.58,13.13
"465","38000242","Female",17,448.1,6.3,58.83,8.74
"466","38000242","Male",22,438.61,7.43,84.33,6.73
"467","38000243","Female",7,425.21,19.96,47.08,14.25
"468","38000243","Male",4,411.09,42.26,53.91,23.23
"469","38000244","Female",9,370.53,15.22,50.57,12.59
"470","38000244","Male",21,396.07,15.57,57.27,12.44
"471","38000245","Female",11,528.18,17.05,42.4,8.76
"472","38000245","Male",7,614.7,28.22,53.05,20.12
"473","38000246","Female",26,521.68,5.38,69.54,3.2
"474","38000246","Male",12,560.19,6.22,67.89,5.19
"475","38000247","Female",22,525.78,11.02,51.62,9.23
"476","38000247","Male",17,572.24,13.06,60.08,12.23
"477","38000248","Female",12,329.48,7.54,37.95,3.97
"478","38000248","Male",4,399.83,19.4,63.03,16.85
"479","38000249","Female",11,492.37,16.29,44.69,11.62
"480","38000249","Male",16,487.6,15.08,55.71,11.07
"481","38000250","Female",29,482.9,13.49,60.88,8.36
"482","38000250","Male",3,478.31,40.13,59.99,20
"483","38000251","Female",1,NA,NA,NA,NA
"484","38000251","Male",13,453.69,21.19,61.74,12.39
"485","38000252","Female",11,506.07,9.13,99.81,8.8
"486","38000252","Male",17,507.82,6.72,54.34,6.28
"487","38000253","Female",16,459.82,12.87,51.23,8.54
"488","38000253","Male",23,467.16,12.76,63.19,9.76
"489","38000254","Female",18,387,6.56,47.14,4.38
"490","38000254","Male",13,407.46,8.1,67.39,6.73
"491","38000255","Female",3,440.9,33.22,47.35,26.06
